index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,,,
282,,,Time,0.001652252,0.001660268,0.99517188,0.319652676,-0.001601814,0.004906319,620,,,,
283,,,Job,-0.068180901,0.085119646,-0.801000758,0.423131207,-0.23501234,0.098650539,682,,,,
284,,,Task,0.022327732,0.032654365,0.683759485,0.494127054,-0.041673648,0.086329111,729,,,,
285,,,Biome,-0.933625293,0.360891476,-2.586997351,0.009681634,-1.640959589,-0.226290997,189,,,,
286,,,Session,0.00347982,0.004816895,0.722419805,0.470036414,-0.00596112,0.012920761,713,,,,
287,bayou-methanogen,,,,,,,,,,,,,
288,,bayou-dirty-detritus,,,,,,,,,,,,
289,,,const,1.267070053,1.380618777,0.917755194,0.358747045,-1.438893026,3.973033132,641,,,,
290,,,Complete_A,1.678065256,0.566707008,2.961080827,0.003065615,0.56733993,2.788790581,147,,,,
291,,,Arg_above_2,-0.178823363,0.194095083,-0.921318356,0.35688424,-0.559242735,0.201596009,639,,,,
292,,,Mod_above_2,-0.286798895,0.212872775,-1.347278414,0.177890581,-0.704021868,0.130424078,484,,,,
293,,,Exp_above_2,0.826014479,0.279327892,2.957150015,0.00310497,0.278541872,1.373487087,149,,,,
294,,,Time,7.03E-05,0.002101075,0.033452086,0.973314074,-0.004047746,0.004188316,1003,,,,
295,,,Job,0.17059501,0.116993431,1.45815888,0.144796755,-0.058707901,0.399897921,444,,,,
296,,,Task,-0.074901353,0.040964748,-1.828434371,0.067484387,-0.155190784,0.005388077,332,,,,
297,,,Biome,0.006436578,0.48998021,0.013136403,0.989518968,-0.953906987,0.966780143,1010,,,,
298,,,Session,-0.009826313,0.004903438,-2.003963797,0.045073939,-0.019436875,-0.00021575,292,,,,
299,,bayou-shrimp-tastrophe,,,,,,,,,,,,
300,,,const,0.655322727,1.439844155,0.455134485,0.64901249,-2.166719959,3.477365414,811,,,,
301,,,Complete_A,2.166344584,0.714651831,3.03132867,0.002434801,0.765652734,3.567036434,143,,,,
302,,,Arg_above_2,-0.180107836,0.197182489,-0.91340685,0.361028604,-0.566578414,0.206362741,642,,,,
303,,,Mod_above_2,-0.394026171,0.215095816,-1.831863486,0.066971762,-0.815606224,0.027553881,331,,,,
304,,,Exp_above_2,0.894003939,0.271488742,3.29296873,0.000991355,0.361895782,1.426112096,116,,,,
305,,,Time,-0.000273673,0.002030843,-0.134758482,0.892802833,-0.004254052,0.003706706,964,,,,
306,,,Job,0.177360635,0.116494852,1.522476164,0.127889813,-0.050965079,0.405686349,414,,,,
307,,,Task,-0.072350078,0.04089129,-1.76932735,0.076839262,-0.152495533,0.007795378,342,,,,
308,,,Biome,0.211539332,0.521931202,0.40530118,0.685256139,-0.811427025,1.234505689,838,,,,
309,,,Session,-0.01008551,0.004858229,-2.075964326,0.037897251,-0.019607464,-0.000563556,278,,,,
310,,bayou-hide-n-seek,,,,,,,,,,,,
311,,,const,0.009949837,1.573686938,0.006322628,0.994955306,-3.074419884,3.094319558,1018,,,,
312,,,Complete_A,2.664484102,0.724193092,3.679245397,0.000233925,1.245091723,4.083876481,85,,,,
313,,,Arg_above_2,-0.113771924,0.204393557,-0.556631654,0.577779122,-0.514375934,0.286832087,776,,,,
314,,,Mod_above_2,-0.550889672,0.226367727,-2.433605175,0.014949292,-0.994562264,-0.10721708,208,,,,
315,,,Exp_above_2,1.029031485,0.285518919,3.604074609,0.000313267,0.469424687,1.588638282,91,,,,
316,,,Time,-0.000706342,0.002090834,-0.337827929,0.735492861,-0.004804301,0.003391617,870,,,,
317,,,Job,0.136907879,0.120908911,1.132322487,0.257498879,-0.100069232,0.373884989,563,,,,
318,,,Task,-0.072314334,0.042180913,-1.71438524,0.086457997,-0.154987404,0.010358736,354,,,,
319,,,Biome,0.432944515,0.544262581,0.795469926,0.426340198,-0.633790542,1.499679572,687,,,,
320,,,Session,-0.009886597,0.005115684,-1.932604975,0.053284879,-0.019913154,0.00013996,306,,,,
321,kelp-refuge-failure,,,,,,,,,,,,,
322,,kelp-bull-kelp-forest,,,,,,,,,,,,
323,,,const,-1.126114118,1.01037326,-1.114552574,0.265042203,-3.106409319,0.854181083,572,,,,
324,,,Complete_A,2.775023133,0.633222647,4.382381372,1.17E-05,1.53392955,4.016116715,49,,,,
325,,,Arg_above_2,0.277630563,0.152165647,1.824528518,0.068072209,-0.020608625,0.575869751,333,,,,
326,,,Mod_above_2,0.854061787,0.218045861,3.916890614,8.97E-05,0.426699752,1.281423821,71,,,,
327,,,Exp_above_2,1.359581138,0.302575604,4.493360078,7.01E-06,0.766543852,1.952618423,46,,,,
328,,,Time,0.000365862,0.002103222,0.173953204,0.861902239,-0.003756377,0.004488101,936,,,,
329,,,Job,-0.262636875,0.089959778,-2.919492262,0.003506021,-0.438954799,-0.08631895,152,,,,
330,,,Task,-0.022340843,0.032710074,-0.682995782,0.494609508,-0.086451411,0.041769725,730,,,,
331,,,Biome,0.28964126,0.352835084,0.820896996,0.411704942,-0.401902796,0.981185317,674,,,,
332,,,Session,0.005674662,0.004988339,1.137585629,0.25529355,-0.004102302,0.015451626,561,,,,
333,,bayou-methanogen,,,,,,,,,,,,
334,,,const,-1.695658948,0.991327933,-1.710492453,0.087174848,-3.638625994,0.247308098,355,,,,
335,,,Complete_A,2.208437664,0.746204774,2.959559816,0.003080789,0.745903181,3.670972147,148,,,,
336,,,Arg_above_2,0.068844396,0.14603138,0.47143563,0.637329677,-0.217371849,0.35506064,799,,,,
337,,,Mod_above_2,0.618262627,0.212037956,2.915811101,0.003547652,0.202675869,1.033849384,153,,,,
338,,,Exp_above_2,1.308498233,0.294355512,4.445298894,8.78E-06,0.73157203,1.885424436,48,,,,
339,,,Time,0.000394931,0.002270492,0.173940551,0.861912183,-0.004055152,0.004845014,937,,,,
340,,,Job,-0.131016616,0.086689282,-1.511335797,0.130702918,-0.300924487,0.038891256,420,,,,
341,,,Task,-0.008216487,0.033938088,-0.242102247,0.808700937,-0.074733918,0.058300943,910,,,,
342,,,Biome,0.763981363,0.34883229,2.190110794,0.028516203,0.080282638,1.447680087,252,,,,
343,,,Session,0.001178388,0.003844527,0.306510475,0.759216005,-0.006356747,0.008713523,890,,,,
344,arctic-seal-habitats,,,,,,,,,,,,,
345,,kelp-bull-kelp-forest,,,,,,,,,,,,
346,,,const,2.666775002,0.877365185,3.039526808,0.002369501,0.947170837,4.386379166,142,,,,
347,,,Complete_A,0.5831422,0.651412654,0.895196303,0.370682161,-0.693603142,1.859887542,647,,,,
348,,,Arg_above_2,-0.127264575,0.153780575,-0.8275725,0.407912647,-0.428668964,0.174139814,671,,,,
349,,,Mod_above_2,-0.154751579,0.203175657,-0.761663976,0.446260581,-0.552968549,0.243465392,700,,,,
350,,,Exp_above_2,0.138338724,0.242897364,0.569535714,0.568992641,-0.337731362,0.614408809,774,,,,
351,,,Time,-0.000434025,0.001405029,-0.308908326,0.757391263,-0.003187832,0.002319782,889,,,,
352,,,Job,0.169590856,0.096958133,1.749114293,0.080271265,-0.020443592,0.359625305,346,,,,
353,,,Task,0.022130524,0.034997653,0.63234308,0.527162719,-0.046463616,0.090724663,750,,,,
354,,,Biome,-1.006890927,0.318747064,-3.158902597,0.001583644,-1.631623692,-0.382158162,126,,,,
355,,,Session,0.002621582,0.004439006,0.590578681,0.554802753,-0.006078709,0.011321874,769,,,,
356,,arctic-missing-whale,,,,,,,,,,,,
357,,,const,2.670549531,0.877842887,3.042172547,0.002348772,0.950009089,4.391089972,141,,,,
358,,,Complete_A,0.632599854,0.576034597,1.098197672,0.272118182,-0.496407211,1.761606918,581,,,,
359,,,Arg_above_2,-0.139311409,0.148889504,-0.935669774,0.349443238,-0.431129474,0.152506657,633,,,,
360,,,Mod_above_2,-0.158686248,0.199876321,-0.793922194,0.427240729,-0.550436639,0.233064144,690,,,,
361,,,Exp_above_2,0.126780119,0.241622044,0.524704273,0.599788786,-0.346790385,0.600350623,782,,,,
362,,,Time,-0.000327212,0.001418937,-0.230603366,0.817622952,-0.003108278,0.002453854,914,,,,
363,,,Job,0.168664439,0.094744879,1.78019584,0.075043916,-0.017032111,0.35436099,338,,,,
364,,,Task,0.028140292,0.034503158,0.815585991,0.414736964,-0.039484655,0.095765239,676,,,,
365,,,Biome,-1.048733279,0.321223,-3.264813783,0.001095361,-1.678318791,-0.419147767,118,,,,
366,,,Session,0.00229876,0.004301064,0.534463158,0.593021133,-0.00613117,0.010728691,780,,,,
367,bayou-hide-n-seek,,,,,,,,,,,,,
368,,kelp-urchin-barren-predict,,,,,,,,,,,,
369,,,const,1.297394306,1.444195031,0.898351177,0.368998357,-1.533175941,4.127964552,646,,,,
370,,,Complete_A,0.470798498,1.138465889,0.413537641,0.679212751,-1.760553643,2.702150638,835,,,,
371,,,Arg_above_2,0.01829621,0.211231778,0.08661675,0.930976152,-0.395710467,0.432302887,983,,,,
372,,,Mod_above_2,0.292770762,0.187350639,1.562688889,0.118125789,-0.074429743,0.659971266,400,,,,
373,,,Exp_above_2,0.278400942,0.238745294,1.166100227,0.243573925,-0.189531236,0.74633312,550,,,,
374,,,Time,0.003077551,0.002602767,1.182415088,0.23704104,-0.002023778,0.00817888,543,,,,
375,,,Job,-0.080666139,0.118530006,-0.680554586,0.496153371,-0.312980681,0.151648403,732,,,,
376,,,Task,-0.022666244,0.037685454,-0.601458685,0.547534522,-0.096528376,0.051195889,764,,,,
377,,,Biome,0.375787811,0.601132794,0.625132773,0.53188392,-0.802410816,1.553986437,752,,,,
378,,,Session,-0.013304886,0.006577881,-2.022670432,0.043107137,-0.026197296,-0.000412476,288,,,,
379,,bayou-shrimp-tastrophe,,,,,,,,,,,,
380,,,const,0.507333669,1.451374544,0.349553925,0.726673494,-2.337308165,3.351975503,864,,,,
381,,,Complete_A,2.365303495,0.705726818,3.351585113,0.000803503,0.98210435,3.748502641,113,,,,
382,,,Arg_above_2,0.009808199,0.218039399,0.044983607,0.964120375,-0.417541171,0.437157568,998,,,,
383,,,Mod_above_2,0.42624321,0.213512088,1.996342286,0.045896678,0.007767207,0.844719213,294,,,,
384,,,Exp_above_2,-0.055788969,0.266792073,-0.209110294,0.834362139,-0.578691824,0.467113886,926,,,,
385,,,Time,0.001731217,0.002556458,0.67719372,0.498283051,-0.003279348,0.006741782,737,,,,
386,,,Job,-0.05259846,0.120276155,-0.437314107,0.661883566,-0.288335392,0.183138473,824,,,,
387,,,Task,-0.012048202,0.036580972,-0.329357083,0.741885802,-0.08374559,0.059649186,876,,,,
388,,,Biome,0.473959497,0.577193615,0.821144734,0.411563832,-0.6573192,1.605238194,673,,,,
389,,,Session,-0.016855217,0.006661625,-2.530196005,0.011399882,-0.029911762,-0.003798672,198,,,,
390,,bayou-methanogen,,,,,,,,,,,,
391,,,const,0.358819083,1.551193923,0.231318005,0.81706776,-2.681465139,3.399103305,912,,,,
392,,,Complete_A,2.051462946,0.599936511,3.419466744,0.00062744,0.875608993,3.2273169,107,,,,
393,,,Arg_above_2,0.00703941,0.234958394,0.029960239,0.976098764,-0.45347058,0.467549399,1005,,,,
394,,,Mod_above_2,0.374450853,0.198750897,1.884020953,0.059562141,-0.015093746,0.763995453,318,,,,
395,,,Exp_above_2,0.034628708,0.258855223,0.133776355,0.893579425,-0.472718206,0.541975623,965,,,,
396,,,Time,0.001686135,0.002595204,0.649712008,0.515878266,-0.003400371,0.006772642,742,,,,
397,,,Job,-0.054352456,0.118396787,-0.459070362,0.646183639,-0.286405895,0.177700983,807,,,,
398,,,Task,-0.018436951,0.039913915,-0.461917878,0.644140213,-0.096666787,0.059792885,806,,,,
399,,,Biome,0.472443498,0.56807879,0.831651359,0.405605763,-0.640970471,1.585857467,669,,,,
400,,,Session,-0.013712135,0.006341372,-2.162329409,0.030592794,-0.026140996,-0.001283274,254,,,,
401,coral-ocean-plastics,,,,,,,,,,,,,
402,,kelp-refuge-failure-simulation,,,,,,,,,,,,
403,,,const,0.692865278,0.951505203,0.728178128,0.466504553,-1.172050652,2.557781207,710,,,,
404,,,Complete_A,2.144657096,0.552904075,3.878895443,0.000104932,1.060985022,3.228329169,74,,,,
405,,,Arg_above_2,-0.23235104,0.158036528,-1.470236293,0.141497768,-0.542096944,0.077394864,437,,,,
406,,,Mod_above_2,-0.114151337,0.17637577,-0.647205325,0.517499065,-0.459841493,0.231538819,744,,,,
407,,,Exp_above_2,0.088326817,0.206383451,0.427974322,0.668669815,-0.316177313,0.492830947,828,,,,
408,,,Time,-0.000615701,0.000872122,-0.70598038,0.480200339,-0.002325028,0.001093626,719,,,,
409,,,Job,0.117030093,0.081139285,1.442335771,0.149207674,-0.041999983,0.276060169,454,,,,
410,,,Task,-0.007763347,0.029701094,-0.261382542,0.793797519,-0.065976422,0.050449727,907,,,,
411,,,Biome,0.12815957,0.334753891,0.38284714,0.701833107,-0.527946,0.784265139,849,,,,
412,,,Session,0.000253086,0.007046718,0.035915375,0.971349836,-0.013558227,0.014064398,1002,,,,
413,,kelp-bull-kelp-forest,,,,,,,,,,,,
414,,,const,0.863782003,0.926417585,0.932389473,0.351135283,-0.951963097,2.679527104,634,,,,
415,,,Complete_A,-0.12426968,0.743728805,-0.167090046,0.867299198,-1.581951351,1.333411992,944,,,,
416,,,Arg_above_2,-0.25297162,0.170060211,-1.48754149,0.136871854,-0.58628351,0.080340269,429,,,,
417,,,Mod_above_2,0.177364814,0.152121684,1.165940378,0.243638552,-0.120788208,0.475517836,551,,,,
418,,,Exp_above_2,-0.069693666,0.202742083,-0.343755304,0.731030316,-0.467060847,0.327673514,866,,,,
419,,,Time,-0.000769574,0.000881059,-0.873464664,0.382409858,-0.002496418,0.00095727,654,,,,
420,,,Job,0.129798667,0.088408831,1.468164047,0.142059668,-0.043479457,0.303076791,438,,,,
421,,,Task,-0.009597521,0.028859134,-0.332564423,0.739463102,-0.066160385,0.046965342,875,,,,
422,,,Biome,0.038589511,0.326513156,0.118186695,0.905919732,-0.601364515,0.678543536,971,,,,
423,,,Session,0.013958515,0.008252604,1.691407373,0.090759025,-0.002216291,0.03013332,359,,,,
424,arctic-in-ice,,,,,,,,,,,,,
425,,kelp-bull-kelp-forest,,,,,,,,,,,,
426,,,const,1.740092558,0.922041219,1.887217753,0.059131043,-0.067075024,3.54726014,317,,,,
427,,,Complete_A,0.381916417,0.758030896,0.50382698,0.614382967,-1.103796839,1.867629672,788,,,,
428,,,Arg_above_2,0.137785677,0.194252705,0.709311497,0.478131196,-0.242942629,0.518513984,716,,,,
429,,,Mod_above_2,-0.249273618,0.248325191,-1.003819296,0.315465722,-0.735982049,0.237434812,618,,,,
430,,,Exp_above_2,0.470582811,0.344366303,1.366518174,0.171776381,-0.20436274,1.145528362,472,,,,
431,,,Time,-0.00016696,0.001535378,-0.108742229,0.913406947,-0.003176245,0.002842324,976,,,,
432,,,Job,0.504854039,0.127880183,3.947867652,7.89E-05,0.254213485,0.755494592,69,,,,
433,,,Task,-0.178661695,0.041774216,-4.276841353,1.90E-05,-0.260537654,-0.096785736,52,,,,
434,,,Biome,-0.510662477,0.365837865,-1.395871028,0.162753337,-1.227691517,0.206366563,466,,,,
435,,,Session,-0.003213931,0.002968954,-1.082512773,0.279024743,-0.009032975,0.002605113,587,,,,
436,,bayou-shrimp-yields,,,,,,,,,,,,
437,,,const,1.89020322,0.924028546,2.045611285,0.04079463,0.079140551,3.70126589,283,,,,
438,,,Complete_A,0.856810989,0.61109913,1.402081835,0.160890811,-0.340921296,2.054543275,463,,,,
439,,,Arg_above_2,0.150303645,0.189238455,0.794255298,0.427046822,-0.220596911,0.521204201,688,,,,
440,,,Mod_above_2,-0.207473288,0.24898717,-0.833268992,0.40469304,-0.695479173,0.280532597,667,,,,
441,,,Exp_above_2,0.461832666,0.342755525,1.347411297,0.177847804,-0.209955818,1.133621151,483,,,,
442,,,Time,1.36E-05,0.001544795,0.008796996,0.992981103,-0.003014153,0.003041332,1014,,,,
443,,,Job,0.487524085,0.116768086,4.175148387,2.98E-05,0.258662842,0.716385327,56,,,,
444,,,Task,-0.181361343,0.042149747,-4.302786005,1.69E-05,-0.26397333,-0.098749356,51,,,,
445,,,Biome,-0.574371776,0.361264015,-1.589894794,0.111858521,-1.282436234,0.133692682,388,,,,
446,,,Session,-0.003548902,0.002956265,-1.200468095,0.229957596,-0.009343075,0.002245271,531,,,,
447,coral-casting-shade,,,,,,,,,,,,,
448,,kelp-refuge-failure-simulation,,,,,,,,,,,,
449,,,const,-2.254760799,1.217802682,-1.851499288,0.064097757,-4.641610197,0.132088598,324,,,,
450,,,Complete_A,1.010062947,0.463815996,2.177723397,0.029426636,0.101000299,1.919125595,253,,,,
451,,,Arg_above_2,-0.766683024,0.209441675,-3.660603963,0.000251621,-1.177181163,-0.356184885,87,,,,
452,,,Mod_above_2,0.009219129,0.194581867,0.047379179,0.962211023,-0.372154322,0.39059258,996,,,,
453,,,Exp_above_2,1.671569738,0.356445777,4.689548443,2.74E-06,0.972948853,2.370190623,43,,,,
454,,,Time,0.004292238,0.00389567,1.101797173,0.27054986,-0.003343135,0.011927611,578,,,,
455,,,Job,-0.063372516,0.104660669,-0.605504591,0.544843775,-0.268503658,0.141758627,761,,,,
456,,,Task,0.030951655,0.03709612,0.834363683,0.404076076,-0.041755404,0.103658715,665,,,,
457,,,Biome,1.472339363,0.453261569,3.248321642,0.00116088,0.583963013,2.360715714,120,,,,
458,,,Session,-0.001272424,0.005795178,-0.219565906,0.826209246,-0.012630764,0.010085917,922,,,,
459,,bayou-reef-decision,,,,,,,,,,,,
460,,,const,-2.147497022,1.184662188,-1.81275054,0.069870306,-4.469392245,0.174398201,334,,,,
461,,,Complete_A,2.121646989,1.062714055,1.996442016,0.045885831,0.038765717,4.204528262,293,,,,
462,,,Arg_above_2,-0.761290236,0.20923937,-3.638369955,0.000274369,-1.171391865,-0.351188607,89,,,,
463,,,Mod_above_2,0.065818964,0.183342664,0.358994261,0.719599383,-0.293526054,0.425163982,859,,,,
464,,,Exp_above_2,1.688409748,0.35954545,4.695956376,2.65E-06,0.983713615,2.393105881,42,,,,
465,,,Time,0.004371228,0.004008528,1.090482078,0.275500844,-0.003485343,0.012227799,584,,,,
466,,,Job,-0.037986512,0.107553079,-0.353188514,0.723947119,-0.248786673,0.172813649,861,,,,
467,,,Task,0.017014478,0.036184839,0.470210131,0.638204897,-0.053906503,0.087935459,800,,,,
468,,,Biome,1.49121582,0.457517224,3.259365424,0.001116617,0.594498539,2.387933101,119,,,,
469,,,Session,-0.001245739,0.005558471,-0.224115377,0.822667527,-0.012140141,0.009648664,917,,,,
470,,bayou-dirty-detritus,,,,,,,,,,,,
471,,,const,-2.18544875,1.190892073,-1.835135861,0.066485562,-4.519554322,0.148656823,329,,,,
472,,,Complete_A,2.204662453,0.685412047,3.216550488,0.001297417,0.861279527,3.548045379,123,,,,
473,,,Arg_above_2,-0.782274929,0.207491964,-3.770145663,0.000163152,-1.188951706,-0.375598152,79,,,,
474,,,Mod_above_2,0.084625332,0.191180041,0.442647315,0.658020855,-0.290080664,0.459331328,821,,,,
475,,,Exp_above_2,1.767255572,0.373814026,4.727633122,2.27E-06,1.034593544,2.4999176,39,,,,
476,,,Time,0.00377087,0.004020624,0.93788169,0.348305214,-0.004109409,0.011651148,632,,,,
477,,,Job,-0.045236077,0.106873769,-0.423266411,0.672100898,-0.254704814,0.164232661,829,,,,
478,,,Task,0.013865365,0.037607096,0.36869013,0.712358706,-0.059843189,0.08757392,857,,,,
479,,,Biome,1.541083357,0.463480535,3.325022822,0.000884113,0.632678201,2.449488514,114,,,,
480,,,Session,-0.003366094,0.004468483,-0.753296858,0.451271546,-0.012124161,0.005391972,701,,,,
481,above-n-below,,,,,,,,,,,,,
482,arctic-salmon-competition,,,,,,,,,,,,,
483,,arctic-disappearing-act,,,,,,,,,,,,
484,,,const,6.603459909,2.857377482,2.31102119,0.020831684,1.003102954,12.20381686,229,,,,
485,,,Complete_A,1.891321374,0.502009373,3.767502112,0.000164889,0.907401082,2.875241665,80,,,,
486,,,Arg_above_2,0.446408029,0.166895618,2.674773818,0.007477968,0.119298629,0.773517429,177,,,,
487,,,Mod_above_2,0.37874566,0.167403321,2.262473997,0.023668134,0.050641181,0.70685014,237,,,,
488,,,Exp_above_2,-0.553255473,0.239764902,-2.307491502,0.021027435,-1.023186045,-0.083324901,230,,,,
489,,,Time,-0.000934051,0.000854527,-1.093062156,0.27436651,-0.002608893,0.000740791,583,,,,
490,,,Job,-0.038544681,0.101363958,-0.380260223,0.703752259,-0.237214388,0.160125026,852,,,,
491,,,Task,-0.006393152,0.038843285,-0.164588345,0.869268006,-0.082524592,0.069738288,946,,,,
492,,,Biome,-2.125432067,0.774933476,-2.742728417,0.006093106,-3.64427377,-0.606590363,167,,,,
493,,,Session,0.00491871,0.00656388,0.749360199,0.453640133,-0.007946257,0.017783678,702,,,,
494,,arctic-cause-of-death,,,,,,,,,,,,
495,,,const,6.189842997,2.663930588,2.323575181,0.020148274,0.968634988,11.41105101,225,,,,
496,,,Complete_A,1.684994049,0.4781216,3.524195622,0.000424771,0.747892933,2.622095165,95,,,,
497,,,Arg_above_2,0.475153216,0.165780747,2.866154382,0.004154916,0.150228921,0.80007751,157,,,,
498,,,Mod_above_2,0.336037777,0.160063981,2.099396598,0.035781954,0.022318139,0.649757415,273,,,,
499,,,Exp_above_2,-0.511382297,0.23145512,-2.209423138,0.027145223,-0.965025996,-0.057738598,243,,,,
500,,,Time,-0.001444038,0.000884886,-1.631892257,0.102702186,-0.003178383,0.000290306,377,,,,
501,,,Job,-0.046304734,0.097605716,-0.474405968,0.635210438,-0.237608423,0.144998954,798,,,,
502,,,Task,-0.00800289,0.036889969,-0.216939475,0.828255514,-0.0803059,0.064300119,923,,,,
503,,,Biome,-1.93379064,0.729024962,-2.652571231,0.007988127,-3.362653309,-0.504927971,181,,,,
504,,,Session,0.004903321,0.006574445,0.745815124,0.455779103,-0.007982355,0.017788996,704,,,,
505,,bayou-hide-n-seek,,,,,,,,,,,,
506,,,const,4.232351638,2.204457822,1.919905926,0.054869783,-0.088306299,8.553009576,308,,,,
507,,,Complete_A,32.80664096,11253.99509,0.002915111,0.997674082,-22024.61842,22090.2317,1020,,,,
508,,,Arg_above_2,0.997433957,0.21155903,4.714683928,2.42E-06,0.582785878,1.412082036,40,,,,
509,,,Mod_above_2,0.473035948,0.194928073,2.426720479,0.01523599,0.090983944,0.855087951,213,,,,
510,,,Exp_above_2,-0.621340265,0.254043552,-2.445802149,0.014453029,-1.119256477,-0.123424053,207,,,,
511,,,Time,-0.003331574,0.001216693,-2.738221473,0.006177246,-0.005716247,-0.0009469,168,,,,
512,,,Job,-0.150125567,0.112664719,-1.332498484,0.182696439,-0.370944358,0.070693224,488,,,,
513,,,Task,-0.061177366,0.039214464,-1.560071461,0.118742995,-0.138036303,0.015681571,401,,,,
514,,,Biome,-1.086451558,0.684233038,-1.587838495,0.112322864,-2.427523671,0.254620554,389,,,,
515,,,Session,0.004291008,0.005285473,0.811849268,0.416878128,-0.00606833,0.014650345,680,,,,
516,arctic-cause-of-death,,,,,,,,,,,,,
517,,bayou-shrimp-tastrophe,,,,,,,,,,,,
518,,,const,1.905727782,1.291392587,1.475715287,0.14002034,-0.625355178,4.436810743,434,,,,
519,,,Complete_A,17.30066876,2259.441033,0.007657057,0.993890612,-4411.122381,4445.723719,1016,,,,
520,,,Arg_above_2,0.576715519,0.203100596,2.83955601,0.004517636,0.178645665,0.974785373,162,,,,
521,,,Mod_above_2,0.360990015,0.246013802,1.467356759,0.142279031,-0.121188176,0.843168207,439,,,,
522,,,Exp_above_2,-0.468346241,0.28360204,-1.65142056,0.098652729,-1.024196026,0.087503545,370,,,,
523,,,Time,0.006096139,0.00375306,1.624311734,0.104309294,-0.001259723,0.013452002,378,,,,
524,,,Job,0.19303731,0.125573532,1.537245204,0.124233274,-0.05308229,0.439156911,409,,,,
525,,,Task,-0.101010652,0.04486248,-2.251561921,0.02434997,-0.188939497,-0.013081807,240,,,,
526,,,Biome,-0.905825033,0.535098768,-1.692818387,0.090490042,-1.954599345,0.14294928,358,,,,
527,,,Session,0.008548495,0.010075921,0.848408299,0.396210622,-0.011199947,0.028296938,661,,,,
528,,bayou-hide-n-seek,,,,,,,,,,,,
529,,,const,1.939287839,1.289416175,1.504004585,0.132580186,-0.587921425,4.466497102,423,,,,
530,,,Complete_A,13.5225142,338.4725651,0.039951581,0.968131728,-649.8715231,676.9165515,999,,,,
531,,,Arg_above_2,0.569240614,0.202555094,2.810300162,0.004949532,0.172239925,0.966241304,164,,,,
532,,,Mod_above_2,0.357161424,0.247542179,1.442830577,0.149068203,-0.12801233,0.842335179,453,,,,
533,,,Exp_above_2,-0.465244455,0.283083316,-1.643489494,0.100281697,-1.020077558,0.089588648,372,,,,
534,,,Time,0.005788553,0.003652996,1.584604072,0.113056319,-0.001371188,0.012948294,390,,,,
535,,,Job,0.191216467,0.125956736,1.518112283,0.128986095,-0.055654198,0.438087133,418,,,,
536,,,Task,-0.099947816,0.045280144,-2.207321076,0.027291636,-0.188695268,-0.011200365,245,,,,
537,,,Biome,-0.896930544,0.532955338,-1.682937537,0.092387184,-1.941503812,0.147642724,360,,,,
538,,,Session,0.008003016,0.010026841,0.798159283,0.424778062,-0.011649231,0.027655263,685,,,,
539,,bayou-displaced-reef,,,,,,,,,,,,
540,,,const,2.392388631,1.340776381,1.784330828,0.074369924,-0.235484788,5.020262049,337,,,,
541,,,Complete_A,0.350323404,0.874039902,0.400809395,0.688560461,-1.362763324,2.063410133,841,,,,
542,,,Arg_above_2,0.566149074,0.196729534,2.87780417,0.004004536,0.180566272,0.951731876,155,,,,
543,,,Mod_above_2,0.315036123,0.235725696,1.336452192,0.181401517,-0.146977751,0.777049998,486,,,,
544,,,Exp_above_2,-0.379238896,0.277858469,-1.364863549,0.172295941,-0.923831487,0.165353696,473,,,,
545,,,Time,0.006148942,0.003708297,1.658158036,0.097285572,-0.001119186,0.013417071,366,,,,
546,,,Job,0.189939557,0.12513869,1.51783239,0.129056657,-0.055327769,0.435206882,419,,,,
547,,,Task,-0.101926489,0.045059727,-2.262030788,0.023695501,-0.19024193,-0.013611048,238,,,,
548,,,Biome,-1.13871446,0.560749471,-2.030700909,0.042285344,-2.237763227,-0.039665693,285,,,,
549,,,Session,0.018329016,0.01093568,1.676074683,0.093723565,-0.003104523,0.039762555,361,,,,
550,arctic-time-of-death,,,,,,,,,,,,,
551,,bayou-reef-decision,,,,,,,,,,,,
552,,,const,2.973458571,1.819015186,1.634652967,0.102121817,-0.591745681,6.538662822,374,,,,
553,,,Complete_A,20.52766433,7408.272474,0.002770911,0.997789136,-14499.41957,14540.4749,1023,,,,
554,,,Arg_above_2,0.624231692,0.197975972,3.15306795,0.001615642,0.236205917,1.012257467,129,,,,
555,,,Mod_above_2,-0.190171379,0.205155738,-0.926961054,0.353946756,-0.592269236,0.211926478,637,,,,
556,,,Exp_above_2,-0.089695388,0.284152169,-0.315659699,0.75226082,-0.646623404,0.467232629,883,,,,
557,,,Time,0.003104542,0.003052989,1.016886164,0.309207586,-0.002879206,0.009088291,607,,,,
558,,,Job,0.259491175,0.112165402,2.313468946,0.02069687,0.039651026,0.479331324,227,,,,
559,,,Task,-0.16082655,0.043403727,-3.705362639,0.000211089,-0.245896292,-0.075756807,83,,,,
560,,,Biome,-0.769174407,0.60056084,-1.280760177,0.200277916,-1.946252024,0.407903209,505,,,,
561,,,Session,0.001703671,0.004555437,0.37398628,0.708414524,-0.007224821,0.010632163,856,,,,
562,,arctic-missing-whale,,,,,,,,,,,,
563,,,const,2.854755194,1.85388308,1.539878769,0.123589907,-0.778788874,6.488299263,407,,,,
564,,,Complete_A,1.913029515,1.181027661,1.61980077,0.105275081,-0.401742166,4.227801196,379,,,,
